Quantity,Customer Reference,Digi-Key Part Number
20,SafePulse V1.1.1 Q3&Q4,MMBT3906LT1G
10,SafePulse V1.1.1 R1,KTR18EZPF4704
10,SafePulse V1.1.1 R4,RNCP0805FTD10K0
10,SafePulse V1.1.1 R20,CRG0805F470K
20,SafePulse V1.1.1 C3 & C24,08055C102KAT2A
10,SafePulse V1.1.1 L1,MDWK4040T4R7MM
