"Source:","C:\Users\allan\OneDrive - Joho NZ\Safecast\1.2.1d\SafePulse\SafePulse.kicad_sch"
"Date:","2021.05.11 9:36:31 PM"
"Tool:","Eeschema (5.99.0-10336-g9846076676)"
"Generator:","C:\Program Files\KiCad\5.99\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","76"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Digikey"
"","","R5","100","Device:R","Resistor_SMD:R_0805_2012Metric","https://www.digikey.com/en/products/detail/te-connectivity-passive-product/CRG0805F100R/2380830",""
"","","R6","121k","Device:R","Resistor_SMD:R_0805_2012Metric","https://www.digikey.com/en/products/detail/koa-speer-electronics-inc/RK73H2ATTD1213F/10235721","2019-RK73H2ATTD1213FCT-ND"
"","","R7","22M","Device:R","Resistor_SMD:R_0805_2012Metric","https://www.digikey.com/en/products/detail/stackpole-electronics-inc/RMCF0805FT22M0/6053747","RMCF0805FT22M0CT-ND"
"","","R8","22M","Device:R","Resistor_SMD:R_0805_2012Metric","https://www.digikey.com/en/products/detail/stackpole-electronics-inc/RMCF0805FT22M0/6053747","RMCF0805FT22M0CT-ND"
"","","R9","22M","Device:R","Resistor_SMD:R_0805_2012Metric","https://www.digikey.com/en/products/detail/stackpole-electronics-inc/RMCF0805FT22M0/6053747","RMCF0805FT22M0CT-ND"
"","","R10","22M","Device:R","Resistor_SMD:R_0805_2012Metric","https://www.digikey.com/en/products/detail/stackpole-electronics-inc/RMCF0805FT22M0/6053747","RMCF0805FT22M0CT-ND"
"","","R11","33k","Device:R","Resistor_SMD:R_0805_2012Metric","https://www.digikey.com/en/products/detail/te-connectivity-passive-product/CRGCQ0805F33K/8576369","A129767CT-ND"
"","","R12","100","Device:R","Resistor_SMD:R_0805_2012Metric","https://www.digikey.com/en/products/detail/te-connectivity-passive-product/CRG0805F100R/2380830","A106053CT-ND"
"","","R13","100k","Device:R","Resistor_SMD:R_0805_2012Metric","https://www.digikey.com/en/products/detail/stackpole-electronics-inc/RMCF0805FT100K/1760712","RMCF0805FT100KCT-ND"
"","","R14","357k","Device:R","Resistor_SMD:R_0805_2012Metric","https://www.digikey.com/en/products/detail/koa-speer-electronics-inc/RK73H2ATTD3573F/10234401","2019-RK73H2ATTD3573FCT-ND"
"","","R15","220k","Device:R","Resistor_SMD:R_0805_2012Metric","https://www.bourns.com/docs/product-datasheets/CRxxxxx.pdf","CR0805-FX-2203ELFCT-ND"
"","","R16","1M","Device:R","Resistor_SMD:R_0805_2012Metric","https://www.digikey.com/en/products/detail/yageo/RT0805FRE071ML/1079056","YAG3361CT-ND"
"","","R17","499k","Device:R","Resistor_SMD:R_0805_2012Metric","https://www.digikey.com/en/products/detail/stackpole-electronics-inc/RMCF0805FT499K/1760301","RMCF0805FT499KCT-ND"
"","","R18","1k","Device:R","Resistor_SMD:R_0805_2012Metric","https://www.digikey.com/en/products/detail/stackpole-electronics-inc/RNCP0805FTD1K00/2240229","RNCP0805FTD1K00CT-ND"
"","","R19","100k","Device:R","Resistor_SMD:R_0805_2012Metric","https://www.digikey.com/en/products/detail/stackpole-electronics-inc/RMCF0805FT100K/1760712","RMCF0805FT100KCT-ND"
"","","R20","118K","Device:R","Resistor_SMD:R_0805_2012Metric","https://www.digikey.com/en/products/detail/yageo/RC0805FR-07118KL/727566","311-118KCRCT-ND"
"","","R21","47k","Device:R","Resistor_SMD:R_0805_2012Metric","https://www.digikey.com/en/products/detail/yageo/RC0805FR-0747KL/727973","311-47.0KCRCT-ND"
"","","R22","20k","Device:R","Resistor_SMD:R_0805_2012Metric","https://www.digikey.com/en/products/detail/stackpole-electronics-inc/RMCF0805FT20K0/1760314","RMCF0805FT20K0CT-ND"
"","","R23","1.54M","Device:R","Resistor_SMD:R_0805_2012Metric","https://www.digikey.com/en/products/detail/yageo/RC0805FR-071M54L/727500","311-1.54MCRCT-ND"
